srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,10.10.10.1,*,17,67,*,1400,*,*,1423404,4162
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,10.10.10.1,17,*,67,1400,*,*,1416564,4142
64:90:c1:1d:24:c4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,6667,1300,*,*,46810574,218741
64:90:c1:1d:24:c4,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,489600,3600
64:90:c1:1d:24:c4,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,6840,20
64:90:c1:1d:24:c4,ff:ff:ff:ff:ff:ff,0x0008,*,*,*,*,*,*,1300,*,*,1020,17
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,10.10.10.1,1,*,*,1001,3,3,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,35.209.96.245,1,*,*,1001,3,3,10686,99
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,35.209.9.241,1,*,*,1001,3,3,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,35.209.226.128,1,*,*,1001,3,3,3136,32
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,10.10.10.1,17,*,53,1001,*,*,29717273,391758
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,*,*,1,*,*,1000,*,*,2584830,20410
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,*,1,*,*,1000,*,*,398,4
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,0x0800,*,*,*,17,123,*,1000,*,*,0,0
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,0x0800,*,*,*,17,*,123,1000,*,*,0,0
00:0c:42:cf:36:21,64:90:c1:1d:24:c4,*,*,*,*,17,53,*,1000,*,*,33820843,391759
64:90:c1:1d:24:c4,00:0c:42:cf:36:21,*,*,*,*,17,*,53,1000,*,*,73,1
*,64:90:c1:1d:24:c4,0x0806,*,*,*,*,*,*,1000,*,*,1911720,31862
64:90:c1:1d:24:c4,*,0x0806,*,*,*,*,*,*,1000,*,*,1910520,31842
